,file,width,height,depth,name,xmin,ymin,xmax,ymax
0,hundred_110,1000,1000,3,100,635,681,827,861
1,DSC03244,1000,1000,3,200,193,282,541,896
2,DSC03244,1000,1000,3,200,631,404,876,905
3,DSC03598,1000,1000,3,200,445,713,682,925
4,five_983,1000,1000,3,5,172,590,473,785
5,five_983,1000,1000,3,5,404,125,570,324
6,IMG_4046,1000,1000,3,200,393,78,615,253
7,fifteen_987,1000,1000,3,50,570,341,759,708
8,DSC03316,1000,1000,3,200,102,185,448,664
9,DSC03316,1000,1000,3,200,742,185,981,879
10,five_914,1000,1000,3,5,318,288,535,387
11,DSC03443,1000,1000,3,200,311,511,661,904
12,ten_992,1000,1000,3,10,524,550,732,713
13,five_451,1000,1000,3,5,44,295,181,416
14,five_451,1000,1000,3,5,55,668,173,811
15,five_451,1000,1000,3,5,703,339,910,465
16,five_451,1000,1000,3,5,747,687,898,838
17,IMG_4164,1000,1000,3,200,464,44,647,204
18,ten_285,1000,1000,3,10,563,662,719,847
19,ten_285,1000,1000,3,10,592,273,726,421
20,ten_842,1000,1000,3,10,196,285,410,468
21,fifteen_619,1000,1000,3,50,289,730,419,850
22,fifteen_619,1000,1000,3,50,287,238,472,368
23,hundred_130,1000,1000,3,100,613,622,806,828
24,IMG_3978,1000,1000,3,200,425,185,610,324
25,five_1020,1000,1000,3,5,349,78,558,238
26,five_1020,1000,1000,3,5,710,264,861,405
27,five_1020,1000,1000,3,5,506,530,659,741
28,fifteen_796,1000,1000,3,50,199,327,399,590
29,five_749,1000,1000,3,5,415,247,693,367
30,ten_406,1000,1000,3,10,167,244,307,327
31,ten_406,1000,1000,3,10,155,545,263,659
32,ten_406,1000,1000,3,10,783,555,932,695
33,ten_966,1000,1000,3,10,187,279,343,491
34,five_922,1000,1000,3,5,423,187,716,282
35,five_922,1000,1000,3,5,176,750,446,884
36,hundred_459,1000,1000,3,100,355,428,532,635
37,fifteen_929,1000,1000,3,50,109,630,216,722
38,fifteen_929,1000,1000,3,50,127,291,259,395
39,fifteen_929,1000,1000,3,50,821,670,932,788
40,hundred_687,1000,1000,3,100,246,570,443,787
41,hundred_687,1000,1000,3,100,276,196,418,311
42,fifteen_182,1000,1000,3,50,613,562,773,691
43,fifteen_182,1000,1000,3,50,341,248,519,361
44,five_704,1000,1000,3,5,339,79,487,225
45,five_704,1000,1000,3,5,367,562,501,681
46,ten_749,1000,1000,3,10,366,670,523,835
47,DSC03826,1000,1000,3,200,88,587,370,813
48,hundred_851,1000,1000,3,100,519,595,709,824
49,ten_691,1000,1000,3,10,224,704,318,808
50,ten_691,1000,1000,3,10,773,733,875,838
51,ten_421,1000,1000,3,50,295,473,533,682
52,ten_421,1000,1000,3,10,816,424,970,573
53,hundred_273,1000,1000,3,100,135,575,286,702
54,hundred_273,1000,1000,3,100,696,573,844,733
55,hundred_5,1000,1000,3,100,347,695,587,873
56,hundred_5,1000,1000,3,100,752,376,939,585
57,five_630,1000,1000,3,5,412,196,575,358
58,five_630,1000,1000,3,5,472,658,599,819
59,five_245,1000,1000,3,5,96,770,381,895
60,five_245,1000,1000,3,5,926,262,999,356
61,IMG_4221,1000,1000,3,200,235,198,495,493
62,IMG_4221,1000,1000,3,200,233,735,458,935
63,fifteen_354,1000,1000,3,50,18,687,236,922
64,fifteen_354,1000,1000,3,50,796,151,986,362
65,ten_228,1000,1000,3,10,338,98,610,336
66,IMG_4151,1000,1000,3,200,315,658,558,913
67,five_753,1000,1000,3,5,270,165,404,459
68,five_724,1000,1000,3,5,483,539,779,628
69,ten_440,1000,1000,3,10,295,691,612,879
70,ten_451,1000,1000,3,10,339,207,493,404
71,ten_451,1000,1000,3,10,258,742,424,928
72,hundred_329,1000,1000,3,100,161,536,306,651
73,hundred_329,1000,1000,3,100,758,516,904,621
74,fifteen_953,1000,1000,3,50,116,662,209,756
75,fifteen_953,1000,1000,3,50,761,676,881,788
76,IMG_4235,1000,1000,3,200,171,27,421,319
77,IMG_4235,1000,1000,3,200,113,598,342,805
78,five_532,1000,1000,3,5,247,250,390,473
79,five_532,1000,1000,3,5,633,185,752,318
80,fifteen_45,1000,1000,3,50,629,602,803,784
81,ten_85,1000,1000,3,10,199,382,336,485
82,ten_85,1000,1000,3,10,201,724,372,850
83,ten_85,1000,1000,3,10,807,744,932,862
84,five_160,1000,1000,3,5,204,688,335,802
85,DSC03350,1000,1000,3,200,59,662,415,908
86,DSC03350,1000,1000,3,200,616,164,879,538
87,DSC03633,1000,1000,3,200,202,228,476,430
88,hundred_154,1000,1000,3,100,392,291,552,610
89,hundred_891,1000,1000,3,100,366,313,509,651
90,five_880,1000,1000,3,5,218,165,475,248
91,five_880,1000,1000,3,5,63,625,255,728
92,five_537,1000,1000,3,5,312,248,467,384
93,five_537,1000,1000,3,5,410,678,518,793
94,DSC03381,1000,1000,3,200,119,611,264,771
95,DSC03381,1000,1000,3,200,722,628,882,782
96,ten_130,1000,1000,3,10,175,622,409,747
97,DSC03762,1000,1000,3,200,433,156,676,368
98,DSC03405,1000,1000,3,200,111,659,438,953
99,five_482,1000,1000,3,5,361,575,738,724
100,fifteen_269,1000,1000,3,50,364,233,566,518
101,fifteen_269,1000,1000,3,50,667,211,833,368
102,ten_932,1000,1000,3,10,535,247,746,418
103,ten_69,1000,1000,3,10,436,71,592,247
104,ten_69,1000,1000,3,10,555,491,736,705
105,DSC03832,1000,1000,3,200,531,285,701,761
106,ten_5,1000,1000,3,10,396,835,561,984
107,ten_5,1000,1000,3,10,195,385,369,556
108,IMG_4072,1000,1000,3,200,501,258,653,653
109,IMG_4246,1000,1000,3,200,636,142,855,335
110,IMG_4246,1000,1000,3,200,595,621,899,921
111,five_929,1000,1000,3,5,561,347,710,731
112,five_929,1000,1000,3,5,64,150,170,491
113,DSC03790,1000,1000,3,200,422,165,596,321
114,five_541,1000,1000,3,5,198,759,546,902
115,DSC03522,1000,1000,3,200,198,639,431,833
116,DSC03522,1000,1000,3,200,668,190,955,487
117,fifteen_557,1000,1000,3,50,458,581,633,753
118,five_808,1000,1000,3,5,409,171,679,248
119,five_808,1000,1000,3,5,199,673,463,799
120,IMG_4169,1000,1000,3,200,21,178,193,362
121,IMG_4169,1000,1000,3,200,838,201,996,295
122,hundred_711,1000,1000,3,100,215,202,470,464
123,five_405,1000,1000,3,5,275,290,426,407
124,five_405,1000,1000,3,5,395,779,535,918
125,fifteen_687,1000,1000,3,50,167,558,339,738
